fold,variant,seed,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst,scanner_probe_accuracy,effective_rank,feature_variance_nonzero_fraction,n_test_slides
3,paired_reference,703,0.7716596484184265,0.7369424700737,0.9994444444444444,0.9944444444444445,0.9622222222222222,50.607084558478164,1.0,9
3,paired_reference,704,0.7632489681243897,0.7262559533119202,0.9977777777777778,0.9888888888888889,0.9755555555555556,53.06835204021678,1.0,9
3,paired_reference,705,0.7745480716228486,0.7417269945144653,0.9994444444444444,0.9944444444444445,0.9644444444444445,50.93949478777265,1.0,9
4,paired_reference,701,0.7718397557735444,0.7301738262176514,0.9977777777777778,0.9888888888888889,0.9511111111111111,52.86434434377809,1.0,9
4,paired_reference,702,0.7671712517738343,0.7293512225151062,0.9983333333333334,0.9833333333333334,0.9577777777777777,52.44798620129829,1.0,9
4,paired_reference,703,0.7689449489116669,0.7267315983772278,0.9977777777777778,0.9888888888888889,0.9577777777777777,53.09352379303623,1.0,9
4,paired_reference,704,0.7620356798171997,0.7144814133644104,0.9972222222222221,0.9888888888888889,0.968888888888889,54.027098278211454,1.0,9
4,paired_reference,705,0.7732954323291779,0.7267203330993652,1.0,1.0,0.971111111111111,52.132336554624565,1.0,9
0,paired_acquisition_dep20,701,0.8601280152797699,0.8224288821220398,1.0,1.0,0.44800000000000006,46.903198915490215,1.0,10
0,paired_acquisition_dep20,702,0.8623629808425903,0.8231728076934814,1.0,1.0,0.47400000000000003,47.58057606265851,1.0,10
0,paired_acquisition_dep20,703,0.8591820478439331,0.8211972117424011,1.0,1.0,0.526,49.038129676189854,1.0,10
0,paired_acquisition_dep20,704,0.8606039524078369,0.8226587772369385,0.999,0.995,0.48599999999999993,48.563482822595354,1.0,10
0,paired_acquisition_dep20,705,0.8620702385902405,0.8276647925376892,0.9995,0.995,0.508,47.78952661948061,1.0,10
1,paired_acquisition_dep20,701,0.8613636493682861,0.8265601396560669,0.9994999999999999,0.995,0.40800000000000003,50.31792751322223,1.0,10
