variant,slide_id,scanner_probe_accuracy,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst
paired_acquisition_dep20,slide_31,0.632,0.8834152630567551,0.8595203053951262,1.0,1.0
paired_acquisition_dep20,slide_32,0.532,0.8662210587263107,0.82291335105896,1.0,1.0
paired_acquisition_dep20,slide_33,0.496,0.8578344922065735,0.8200411117076873,1.0,1.0
paired_acquisition_dep20,slide_34,0.508,0.8952066450119018,0.8579776358604431,1.0,1.0
paired_acquisition_dep20,slide_35,0.54,0.8631541948318482,0.8201152908802033,1.0,1.0
paired_acquisition_dep20,slide_36,0.568,0.8931972094774245,0.8516952860355378,0.999,0.99
paired_acquisition_dep20,slide_37,0.508,0.886900959610939,0.844510999917984,1.0,1.0
paired_acquisition_dep20,slide_38,0.46799999999999997,0.8507090988159179,0.8236964654922485,1.0,1.0
paired_acquisition_dep20,slide_39,0.536,0.8542216449975968,0.8022776818275451,0.999,0.99
paired_acquisition_dep20,slide_4,0.508,0.8725967882871627,0.8307685685157775,1.0,1.0
paired_acquisition_dep20,slide_40,0.328,0.9147109961509704,0.8616357100009917,0.993,0.95
paired_acquisition_dep20,slide_41,0.528,0.8484205491542817,0.8005650079250335,1.0,1.0
paired_acquisition_dep20,slide_42,0.58,0.8719020826816559,0.851241182088852,1.0,1.0
paired_acquisition_dep20,slide_43,0.58,0.8657621147632598,0.8073675274848938,1.0,1.0
paired_acquisition_dep20,slide_44,0.596,0.8760192881822586,0.8231682085990906,1.0,1.0
paired_acquisition_dep20,slide_45,0.572,0.8811985620260238,0.8439998602867126,1.0,1.0
paired_acquisition_dep20,slide_46,0.504,0.8767267516851426,0.8394790101051331,1.0,1.0
paired_acquisition_dep20,slide_47,0.528,0.8798081618547439,0.8454513645172119,1.0,1.0
paired_acquisition_dep20,slide_48,0.516,0.8752210022211075,0.8338374805450439,1.0,1.0
paired_acquisition_dep20,slide_5,0.43600000000000005,0.8360692069530486,0.7908807253837585,0.998,0.9800000000000001
paired_acquisition_dep20,slide_6,0.572,0.8375771782398225,0.7786153137683869,0.999,0.99
paired_acquisition_dep20,slide_7,0.5439999999999999,0.8458704905509948,0.8015356385707856,1.0,1.0
paired_acquisition_dep20,slide_8,0.38,0.8467101756334305,0.8016887962818146,1.0,1.0
paired_acquisition_dep20,slide_9,0.508,0.8840790349245072,0.8616897332668305,1.0,1.0

