fold,variant,seed,slide_id,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst,scanner_probe_accuracy
0,paired_reference,702,slide_20,0.6714532154798508,0.6097276270389557,0.99,0.95,0.72
0,paired_reference,703,slide_20,0.6502866861224175,0.6028127193450927,0.955,0.9,0.6
0,paired_reference,704,slide_20,0.6657573586702347,0.5823147684335709,0.995,0.95,0.64
0,paired_reference,705,slide_20,0.6625938853621482,0.6020279645919799,0.97,0.9,0.68
1,paired_reference,701,slide_21,0.5615892922878265,0.4480663865804672,0.885,0.7,0.76
1,paired_reference,702,slide_21,0.5709817043691874,0.40544511154294016,0.91,0.75,0.68
1,paired_reference,703,slide_21,0.5680267180502415,0.44165339022874833,0.895,0.75,0.82
1,paired_reference,704,slide_21,0.5712875064462424,0.4213134042918682,0.93,0.8,0.86
1,paired_reference,705,slide_21,0.5806783024966716,0.47443636059761046,0.955,0.85,0.84
2,paired_reference,701,slide_22,0.6188773426413536,0.5229709059000015,0.95,0.85,0.66
2,paired_reference,702,slide_22,0.6000911089777946,0.4887761503458023,0.945,0.9,0.64
2,paired_reference,703,slide_22,0.6086992958188057,0.5015834704041481,0.935,0.9,0.62
2,paired_reference,704,slide_22,0.6011354713886976,0.4722135454416275,0.92,0.85,0.66
2,paired_reference,705,slide_22,0.5944125686585903,0.478647792339325,0.915,0.85,0.66
2,paired_reference,701,slide_23,0.5544743683934211,0.4917928159236908,0.98,0.9,0.78
2,paired_reference,702,slide_23,0.5732479554414749,0.500076162815094,0.975,0.95,0.8
2,paired_reference,703,slide_23,0.5577366074919701,0.4785600781440735,0.96,0.85,0.78
2,paired_reference,704,slide_23,0.5502056290209293,0.48509265184402467,0.945,0.85,0.68
2,paired_reference,705,slide_23,0.577634257376194,0.4967428416013718,0.97,0.85,0.8
1,paired_reference,701,slide_24,0.6639954507350921,0.618492841720581,0.99,0.95,0.68
1,paired_reference,702,slide_24,0.6666294351220131,0.6015188455581665,1.0,1.0,0.52
1,paired_reference,703,slide_24,0.6600957044959068,0.6037743180990219,1.0,1.0,0.64
1,paired_reference,704,slide_24,0.6707827383279801,0.6014673441648484,1.0,1.0,0.56
1,paired_reference,705,slide_24,0.6779341948032379,0.6241241484880448,1.0,1.0,0.52
3,paired_reference,701,slide_25,0.579682969301939,0.4558637574315071,0.92,0.75,0.74
3,paired_reference,702,slide_25,0.5918077029287815,0.5016330808401108,0.92,0.85,0.7
3,paired_reference,703,slide_25,0.5866974839568138,0.45994760692119596,0.945,0.85,0.68
3,paired_reference,704,slide_25,0.5942256751656533,0.5024536073207855,0.945,0.85,0.7
3,paired_reference,705,slide_25,0.6058368529379368,0.5198941618204117,0.93,0.85,0.68
0,paired_reference,701,slide_26,0.6816074106097222,0.643295380473137,0.97,0.95,0.54
0,paired_reference,702,slide_26,0.6973428508639335,0.6526504933834076,0.97,0.9,0.62
0,paired_reference,703,slide_26,0.677224705517292,0.6317141503095627,0.985,0.95,0.56
0,paired_reference,704,slide_26,0.6902936446666718,0.6437463879585266,0.985,0.95,0.48
0,paired_reference,705,slide_26,0.6910983765125275,0.645489078760147,0.97,0.9,0.64
2,paired_reference,701,slide_27,0.576893679201603,0.514891940355301,0.945,0.85,0.8
2,paired_reference,702,slide_27,0.582192365527153,0.5041491180658341,0.965,0.85,0.84
2,paired_reference,703,slide_27,0.5974664413928985,0.530396357178688,0.975,0.9,0.8
2,paired_reference,704,slide_27,0.5957825157046318,0.5316227167844773,0.96,0.85,0.8
2,paired_reference,705,slide_27,0.5932665976881981,0.5152235954999924,0.97,0.9,0.82
2,paired_reference,701,slide_28,0.5787493857741356,0.4800792098045349,0.995,0.95,0.56
2,paired_reference,702,slide_28,0.59805728033185,0.4980150401592255,0.985,0.95,0.54
2,paired_reference,703,slide_28,0.5820193375647068,0.4932332143187523,0.97,0.85,0.64
