metric,difference_definition,n_slide_blocks,mean_difference,median_difference,bootstrap_ci_025,bootstrap_ci_975,fraction_slides_favorable,monte_carlo_sign_flip_p_two_sided,sign_flip_draws
scanner_probe_accuracy,paired_acquisition_dep20_minus_paired_reference,48,-0.36850000000000005,-0.382,-0.3906666666666667,-0.3449166666666667,1.0,3.9999840000639995e-06,250000
pair_cosine_average,paired_acquisition_dep20_minus_paired_reference,48,0.02550194572284818,0.025834240354597526,0.022383776732968774,0.028704730399395344,1.0,3.9999840000639995e-06,250000
pair_cosine_worst,paired_acquisition_dep20_minus_paired_reference,48,0.029388952087610953,0.02781354591250415,0.02555667643450819,0.03334516478236764,0.9791666666666666,3.9999840000639995e-06,250000
retrieval_top1_average,paired_acquisition_dep20_minus_paired_reference,48,0.008083333333333357,0.008000000000000007,0.006104166666666679,0.010187500000000028,0.8541666666666666,3.9999840000639995e-06,250000
retrieval_top1_worst,paired_acquisition_dep20_minus_paired_reference,48,0.016875000000000005,0.010000000000000231,0.010416666666666666,0.023333333333333317,0.7291666666666666,1.1999952000192e-05,250000

