variant,slide_id,scanner_probe_accuracy,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst
paired_reference,slide_1,0.42000000000000004,0.7261882793903351,0.6192759990692138,0.9960000000000001,0.9800000000000001
paired_reference,slide_10,0.7,0.6226005440950393,0.5304298925399781,0.946,0.86
paired_reference,slide_11,0.6799999999999999,0.6065065067261457,0.521099239885807,0.9189999999999999,0.8300000000000001
paired_reference,slide_12,0.608,0.6271901836991309,0.5638491380214692,0.999,0.99
paired_reference,slide_13,0.664,0.6665213702321052,0.6192087233066559,0.9960000000000001,0.9800000000000001
paired_reference,slide_14,0.612,0.6325096619129181,0.5289299130439759,0.986,0.9199999999999999
paired_reference,slide_15,0.8,0.5710846624374389,0.5025575724244117,0.9560000000000001,0.8400000000000001
paired_reference,slide_16,0.6439999999999999,0.6555199391245842,0.5299734127521515,0.929,0.79
paired_reference,slide_17,0.704,0.5702741730511189,0.5050567552447319,0.9280000000000002,0.8
paired_reference,slide_18,0.544,0.641233004629612,0.5304176935553551,0.9809999999999999,0.9099999999999999
paired_reference,slide_19,0.724,0.6287422623038291,0.5330050510168076,0.95,0.86
paired_reference,slide_2,0.8480000000000001,0.5684601098001003,0.495198341012001,0.9789999999999999,0.9199999999999999
paired_reference,slide_20,0.6519999999999999,0.66253863966465,0.6018385988473891,0.977,0.93
paired_reference,slide_21,0.792,0.5705127047300339,0.43818293064832686,0.915,0.77
paired_reference,slide_22,0.648,0.6046431574970483,0.4928383728861808,0.933,0.8699999999999999
paired_reference,slide_23,0.768,0.5626597635447979,0.490452910065651,0.966,0.8800000000000001
paired_reference,slide_24,0.584,0.667887504696846,0.6098754996061325,0.998,0.99
paired_reference,slide_25,0.7,0.5916501368582249,0.48795844286680223,0.932,0.8300000000000001
paired_reference,slide_26,0.568,0.6875133976340294,0.6433790981769562,0.976,0.93
paired_reference,slide_27,0.812,0.5891203199028968,0.5192567455768586,0.9629999999999999,0.8699999999999999
paired_reference,slide_28,0.5720000000000001,0.5863923385739327,0.48936762541532514,0.9800000000000001,0.9199999999999999
paired_reference,slide_29,0.708,0.5709976585358382,0.4761828964948654,0.961,0.85
paired_reference,slide_3,0.7,0.678684454202652,0.5977921813726426,0.999,0.99
paired_reference,slide_30,0.692,0.5760903362035752,0.5144669219851494,0.958,0.8699999999999999
paired_reference,slide_31,0.836,0.6007255897521973,0.5424704223871231,0.974,0.9
paired_reference,slide_32,0.596,0.6547812587618828,0.5748232823610306,0.976,0.9199999999999999
paired_reference,slide_33,0.692,0.6256249670982361,0.5668282526731491,0.983,0.9400000000000001
paired_reference,slide_34,0.744,0.6370231954455375,0.5643039405345917,0.9469999999999998,0.8699999999999999
paired_reference,slide_35,0.8039999999999999,0.5804961071312428,0.4939767128229141,0.958,0.86
paired_reference,slide_36,0.784,0.666960744202137,0.5771046954393386,0.958,0.86
paired_reference,slide_37,0.656,0.6459612784385682,0.5685811981558799,0.9629999999999999,0.8800000000000001
paired_reference,slide_38,0.8119999999999999,0.5310419717729091,0.4242101642489433,0.9099999999999999,0.75
paired_reference,slide_39,0.7,0.6573764345645905,0.568870090842247,0.9629999999999999,0.8699999999999999
paired_reference,slide_4,0.704,0.6965835757851601,0.633287292122841,0.985,0.9299999999999999
paired_reference,slide_40,0.364,0.7230665832161904,0.6836680340766906,0.976,0.9
paired_reference,slide_41,0.612,0.6799116878509521,0.6155455100536347,0.962,0.9199999999999999
paired_reference,slide_42,0.8,0.6151300642192363,0.5252919667959214,0.967,0.9
paired_reference,slide_43,0.716,0.6153211103081703,0.5354519629478455,0.9390000000000001,0.8400000000000001
paired_reference,slide_44,0.776,0.6343602722585201,0.5302887627482414,0.9549999999999998,0.86
paired_reference,slide_45,0.744,0.6003395440876484,0.5036855065822602,0.984,0.9400000000000001
paired_reference,slide_46,0.76,0.6121041403710843,0.5459870260953903,0.993,0.95
paired_reference,slide_47,0.604,0.6463535393476486,0.5740260845422744,0.994,0.97
paired_reference,slide_48,0.592,0.6664727397859097,0.582217724621296,0.993,0.95
paired_reference,slide_5,0.756,0.6473222360014915,0.5591387867927551,0.968,0.9199999999999999
paired_reference,slide_6,0.8160000000000001,0.6009946880936623,0.5439939513802529,0.899,0.8
paired_reference,slide_7,0.616,0.5954960307478905,0.5139530748128891,0.942,0.85
paired_reference,slide_8,0.508,0.6789990403652191,0.6140125530958176,0.9879999999999999,0.9400000000000001
paired_reference,slide_9,0.56,0.6980032157301903,0.6224288713932038,0.9949999999999999,0.97
paired_acquisition_dep20,slide_1,0.24,0.7408806497454643,0.6368088537454606,0.9969999999999999,0.97
paired_acquisition_dep20,slide_10,0.236,0.6515711911916733,0.5783397680521012,0.959,0.9099999999999999
paired_acquisition_dep20,slide_11,0.292,0.6306772911697627,0.5385719847679138,0.93,0.82
paired_acquisition_dep20,slide_12,0.3,0.6426430125832557,0.5808868032693864,0.998,0.9800000000000001
paired_acquisition_dep20,slide_13,0.304,0.6869868508577347,0.6410181504487992,0.999,0.99
paired_acquisition_dep20,slide_14,0.27599999999999997,0.6544542772769928,0.5588442850112915,0.993,0.96
paired_acquisition_dep20,slide_15,0.33999999999999997,0.6066352918446064,0.5287268024682998,0.9629999999999999,0.86
paired_acquisition_dep20,slide_16,0.312,0.678321243673563,0.570539927482605,0.9390000000000001,0.77
paired_acquisition_dep20,slide_17,0.272,0.5874716836512089,0.5253481137752533,0.9400000000000001,0.8400000000000001
paired_acquisition_dep20,slide_18,0.304,0.6495105421245098,0.5415101385116576,0.99,0.9099999999999999
paired_acquisition_dep20,slide_19,0.312,0.6579207219481468,0.5676002031564712,0.9650000000000001,0.9
paired_acquisition_dep20,slide_2,0.388,0.6149530715346336,0.5421463584899902,0.986,0.93
paired_acquisition_dep20,slide_20,0.22800000000000004,0.6751882864832879,0.6131295049190522,0.9789999999999999,0.93
paired_acquisition_dep20,slide_21,0.32,0.5983600649535656,0.4642605137825012,0.93,0.8099999999999999
paired_acquisition_dep20,slide_22,0.292,0.6234130888879299,0.5159027329087257,0.9410000000000001,0.8800000000000001
paired_acquisition_dep20,slide_23,0.316,0.5934711801111698,0.5196303179860114,0.976,0.89
paired_acquisition_dep20,slide_24,0.252,0.676054927110672,0.6212424629926682,0.9970000000000001,0.97
paired_acquisition_dep20,slide_25,0.376,0.6307357102036476,0.533135601580143,0.945,0.8699999999999999
paired_acquisition_dep20,slide_26,0.23200000000000004,0.7000644845366478,0.6432002127170563,0.9810000000000001,0.9400000000000001
paired_acquisition_dep20,slide_27,0.4,0.6159563546776772,0.542724312543869,0.9629999999999999,0.89
paired_acquisition_dep20,slide_28,0.312,0.6070973564982414,0.5094487315416336,0.994,0.96
paired_acquisition_dep20,slide_29,0.344,0.5969826387166977,0.5113202160596847,0.968,0.86
paired_acquisition_dep20,slide_3,0.3,0.7059291182756424,0.6278711187839507,1.0,1.0
paired_acquisition_dep20,slide_30,0.344,0.6002609277367592,0.5377577579021453,0.9719999999999999,0.9099999999999999
paired_acquisition_dep20,slide_31,0.43600000000000005,0.6382540572583675,0.5840592646598817,0.982,0.9199999999999999
paired_acquisition_dep20,slide_32,0.308,0.6838846601843833,0.6128976833820343,0.975,0.9
paired_acquisition_dep20,slide_33,0.248,0.6513084676265717,0.5932779365777969,0.991,0.95
paired_acquisition_dep20,slide_34,0.312,0.6687341445088386,0.6022605246305466,0.9560000000000001,0.8800000000000001
paired_acquisition_dep20,slide_35,0.352,0.6303360087275505,0.5399566680192948,0.976,0.9
paired_acquisition_dep20,slide_36,0.43200000000000005,0.7065277535319329,0.6212698012590409,0.9730000000000001,0.9
paired_acquisition_dep20,slide_37,0.264,0.6738500138521195,0.6052916133403778,0.9640000000000001,0.89
paired_acquisition_dep20,slide_38,0.292,0.5582824075520039,0.4551099100708962,0.938,0.8099999999999999
paired_acquisition_dep20,slide_39,0.296,0.6786394702792167,0.6074428421258926,0.9709999999999999,0.9
paired_acquisition_dep20,slide_4,0.396,0.732322412610054,0.6696251904964446,0.993,0.96
paired_acquisition_dep20,slide_40,0.27199999999999996,0.7323347406387329,0.7051833128929138,0.9890000000000001,0.9400000000000001
paired_acquisition_dep20,slide_41,0.288,0.6961551170945167,0.6242041170597077,0.9730000000000001,0.9
paired_acquisition_dep20,slide_42,0.364,0.6527000816464424,0.5688384079933166,0.967,0.9
paired_acquisition_dep20,slide_43,0.328,0.6472154151797295,0.5703890883922578,0.9650000000000001,0.8800000000000001
paired_acquisition_dep20,slide_44,0.372,0.6787130706608295,0.5876554891467094,0.9789999999999999,0.9199999999999999
paired_acquisition_dep20,slide_45,0.284,0.6173656131625176,0.5172308829426766,0.9810000000000001,0.9199999999999999
paired_acquisition_dep20,slide_46,0.384,0.647352485716343,0.5864969128370285,0.998,0.9800000000000001
paired_acquisition_dep20,slide_47,0.292,0.6583260142803192,0.5956905090808868,0.992,0.95
paired_acquisition_dep20,slide_48,0.256,0.6774574656486511,0.6009270334243775,0.999,0.99
paired_acquisition_dep20,slide_5,0.288,0.6811402550935746,0.6001104754209519,0.984,0.95
paired_acquisition_dep20,slide_6,0.42400000000000004,0.6543167099058629,0.6137212750315666,0.9,0.8099999999999999
paired_acquisition_dep20,slide_7,0.284,0.6076548153460026,0.5369358080625534,0.944,0.8400000000000001
paired_acquisition_dep20,slide_8,0.264,0.6935371997952461,0.6295180016756058,0.9890000000000001,0.95
paired_acquisition_dep20,slide_9,0.28,0.7081161733865737,0.6373519021272659,0.999,0.99

