fold,variant,method,seed,epochs,final_training_loss,projected_feature_dim,projected_feature_variance_mean,run_dir,input_dim,biological_dim,acquisition_dim,hidden_dim,temperature,reconstruction_weight,variance_weight,covariance_weight,scanner_adversary_weight,scanner_acquisition_weight,scanner_dependence_weight,cross_covariance_weight,gradient_reversal_strength,n_fit_slides,n_test_slides
1,paired_reference,paired_consistency,704,75,1.8225790162881215,256,1.0700254440307617,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_1\runs\paired_reference_seed_704,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
1,paired_acquisition_dep20,paired_acquisition,704,75,2.6257269779841104,256,1.042730450630188,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_1\runs\paired_acquisition_dep20_seed_704,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
1,paired_reference,paired_consistency,705,75,1.829262485106786,256,1.069209337234497,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_1\runs\paired_reference_seed_705,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
1,paired_acquisition_dep20,paired_acquisition,705,75,2.6274874607721963,256,1.0420302152633667,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_1\runs\paired_acquisition_dep20_seed_705,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
2,paired_reference,paired_consistency,701,75,1.8315054575602214,256,1.0668282508850098,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_2\runs\paired_reference_seed_701,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
2,paired_acquisition_dep20,paired_acquisition,701,75,2.634255309899648,256,1.040987491607666,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_2\runs\paired_acquisition_dep20_seed_701,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
2,paired_reference,paired_consistency,702,75,1.8322365085283916,256,1.0749074220657349,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_2\runs\paired_reference_seed_702,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
2,paired_acquisition_dep20,paired_acquisition,702,75,2.6360418796539307,256,1.0449764728546143,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_2\runs\paired_acquisition_dep20_seed_702,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
2,paired_reference,paired_consistency,703,75,1.8307833969593048,256,1.0716588497161865,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_2\runs\paired_reference_seed_703,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
2,paired_acquisition_dep20,paired_acquisition,703,75,2.6307294964790344,256,1.0429768562316895,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_2\runs\paired_acquisition_dep20_seed_703,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
2,paired_reference,paired_consistency,704,75,1.829540103673935,256,1.0684540271759033,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_2\runs\paired_reference_seed_704,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
2,paired_acquisition_dep20,paired_acquisition,704,75,2.6326111952463784,256,1.0426981449127197,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_2\runs\paired_acquisition_dep20_seed_704,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
2,paired_reference,paired_consistency,705,75,1.8317615389823914,256,1.0690760612487793,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_2\runs\paired_reference_seed_705,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
2,paired_acquisition_dep20,paired_acquisition,705,75,2.6333786249160767,256,1.043687343597412,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_2\runs\paired_acquisition_dep20_seed_705,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
3,paired_reference,paired_consistency,701,75,1.8945553119365985,256,1.040926456451416,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_3\runs\paired_reference_seed_701,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
3,paired_acquisition_dep20,paired_acquisition,701,75,2.7009861285869894,256,1.0055532455444336,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_3\runs\paired_acquisition_dep20_seed_701,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9
3,paired_reference,paired_consistency,702,75,1.879696772648738,256,1.0452518463134766,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_3\runs\paired_reference_seed_702,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
3,paired_acquisition_dep20,paired_acquisition,702,75,2.69013760640071,256,1.0113697052001953,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_3\runs\paired_acquisition_dep20_seed_702,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9
3,paired_reference,paired_consistency,703,75,1.887312072973985,256,1.0481328964233398,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_3\runs\paired_reference_seed_703,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
3,paired_acquisition_dep20,paired_acquisition,703,75,2.691771067105807,256,1.0159952640533447,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_3\runs\paired_acquisition_dep20_seed_703,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9
3,paired_reference,paired_consistency,704,75,1.8707233392275298,256,1.0468015670776367,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_3\runs\paired_reference_seed_704,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
3,paired_acquisition_dep20,paired_acquisition,704,75,2.68622847703787,256,1.0180203914642334,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_3\runs\paired_acquisition_dep20_seed_704,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9
3,paired_reference,paired_consistency,705,75,1.8987956780653734,256,1.0487502813339233,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_3\runs\paired_reference_seed_705,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
3,paired_acquisition_dep20,paired_acquisition,705,75,2.7090508387638974,256,1.0201438665390015,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_3\runs\paired_acquisition_dep20_seed_705,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9
4,paired_reference,paired_consistency,701,75,1.891347362444951,256,1.0450425148010254,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_4\runs\paired_reference_seed_701,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
4,paired_acquisition_dep20,paired_acquisition,701,75,2.7057616527263937,256,1.0114761590957642,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_4\runs\paired_acquisition_dep20_seed_701,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9
4,paired_reference,paired_consistency,702,75,1.8786178277089045,256,1.0506739616394043,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_4\runs\paired_reference_seed_702,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
4,paired_acquisition_dep20,paired_acquisition,702,75,2.6918964569385233,256,1.0203301906585693,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_4\runs\paired_acquisition_dep20_seed_702,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9
4,paired_reference,paired_consistency,703,75,1.887632287465609,256,1.0511415004730225,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_4\runs\paired_reference_seed_703,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
4,paired_acquisition_dep20,paired_acquisition,703,75,2.7018328996805043,256,1.017725944519043,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_4\runs\paired_acquisition_dep20_seed_703,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9
4,paired_reference,paired_consistency,704,75,1.8825002817007213,256,1.0492233037948608,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_4\runs\paired_reference_seed_704,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
4,paired_acquisition_dep20,paired_acquisition,704,75,2.6912469680492697,256,1.0178518295288086,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_4\runs\paired_acquisition_dep20_seed_704,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9
4,paired_reference,paired_consistency,705,75,1.8972710279318004,256,1.0505619049072266,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_4\runs\paired_reference_seed_705,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
4,paired_acquisition_dep20,paired_acquisition,705,75,2.7044621064112735,256,1.0206838846206665,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_4\runs\paired_acquisition_dep20_seed_705,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9

