fold,variant,method,seed,epochs,final_training_loss,projected_feature_dim,projected_feature_variance_mean,run_dir,input_dim,biological_dim,acquisition_dim,hidden_dim,temperature,reconstruction_weight,variance_weight,covariance_weight,scanner_adversary_weight,scanner_acquisition_weight,scanner_dependence_weight,cross_covariance_weight,gradient_reversal_strength,n_fit_slides,n_test_slides
1,paired_reference,paired_consistency,704,75,1.6094520787398021,256,1.0750516653060913,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_1\runs\paired_reference_seed_704,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
1,paired_acquisition_dep20,paired_acquisition,704,75,2.438449223836263,256,1.0436514616012573,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_1\runs\paired_acquisition_dep20_seed_704,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
1,paired_reference,paired_consistency,705,75,1.6065612733364105,256,1.0779223442077637,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_1\runs\paired_reference_seed_705,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
1,paired_acquisition_dep20,paired_acquisition,705,75,2.4390564958254495,256,1.045015811920166,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_1\runs\paired_acquisition_dep20_seed_705,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
2,paired_reference,paired_consistency,701,75,1.6108733018239338,256,1.071852445602417,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_2\runs\paired_reference_seed_701,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
2,paired_acquisition_dep20,paired_acquisition,701,75,2.4420719742774963,256,1.0442599058151245,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_2\runs\paired_acquisition_dep20_seed_701,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
2,paired_reference,paired_consistency,702,75,1.6123145520687103,256,1.0734508037567139,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_2\runs\paired_reference_seed_702,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
2,paired_acquisition_dep20,paired_acquisition,702,75,2.4421696265538535,256,1.0352363586425781,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_2\runs\paired_acquisition_dep20_seed_702,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
2,paired_reference,paired_consistency,703,75,1.6130767563978832,256,1.0741629600524902,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_2\runs\paired_reference_seed_703,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
2,paired_acquisition_dep20,paired_acquisition,703,75,2.443865954875946,256,1.0396111011505127,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_2\runs\paired_acquisition_dep20_seed_703,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
