slide_id,scanner_probe_accuracy,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst
slide_1,-0.2986666666666667,0.019472061018149023,0.02130735973517106,0.00033333333333333365,-0.003333333333333336
slide_10,-0.4026666666666667,0.053000542958577555,0.05787403364976251,0.0046666666666666705,0.020000000000000018
slide_11,-0.416,0.04577329785625143,0.04652311950922009,0.00366666666666667,-0.0033333333333333734
slide_12,-0.412,0.04076138782501226,0.03965941925843556,-0.00033333333333333365,-0.003333333333333336
slide_13,-0.36133333333333334,0.04691966726382579,0.04899702886740368,0.0010000000000000009,0.003333333333333336
slide_14,-0.428,0.04646981191635132,0.049885800679524715,0.002666666666666669,0.016666666666666646
slide_15,-0.4653333333333334,0.049289123624563204,0.04816220968961715,0.0023333333333333353,0.006666666666666636
slide_16,-0.412,0.04755710294842722,0.05423712690671286,0.0033333333333332993,-0.006666666666666672
slide_17,-0.4266666666666667,0.045818072160085044,0.04699528425931924,0.004666666666666597,0.020000000000000018
slide_18,-0.35333333333333333,0.0354628444612027,0.037673885126908536,0.00366666666666667,0.006666666666666672
slide_19,-0.36799999999999994,0.06696183115243921,0.07048629621664677,0.0050000000000000044,0.013333333333333345
slide_2,-0.4186666666666667,0.06561288300156591,0.06628000398476919,0.0023333333333333353,0.003333333333333336
slide_20,-0.4573333333333333,0.036040587087472264,0.036518576343854324,0.0006666666666666673,0.0
slide_21,-0.456,0.04777984276413916,0.04862751136223479,0.005666666666666671,0.016666666666666646
slide_22,-0.4453333333333334,0.04330432278414572,0.048335498372713746,0.002666666666666632,0.0033333333333334103
slide_23,-0.4240000000000001,0.0592367443442345,0.05668218125899629,0.003333333333333336,0.0033333333333332993
slide_24,-0.42933333333333334,0.03897293845812481,0.04814430276552839,-0.00033333333333333365,-0.006666666666666672
slide_25,-0.35600000000000004,0.06301364317536347,0.08326736013094588,0.005666666666666635,0.02333333333333328
slide_26,-0.36666666666666664,0.027426247358322147,0.02526215712229407,0.001666666666666668,0.0033333333333332993
slide_27,-0.4413333333333333,0.047288944244384824,0.0488513553142547,0.0,0.00666666666666671
slide_28,-0.3946666666666667,0.05107613313198086,0.05245077162981034,0.0046666666666666705,0.013333333333333308
slide_29,-0.35600000000000004,0.06294463104506332,0.06684120615323387,0.0023333333333333353,0.003333333333333336
slide_3,-0.38933333333333336,0.04876722753047935,0.05222798168659215,0.00033333333333333365,0.003333333333333336
slide_30,-0.37866666666666665,0.05708671506245936,0.06124045560757311,0.0046666666666666705,0.013333333333333383
slide_31,-0.38000000000000006,0.059082102249066036,0.060928032199541717,0.0030000000000000027,0.010000000000000009
slide_32,-0.3373333333333333,0.05731449361642201,0.06042873561382293,-0.00033333333333333365,-0.006666666666666672
slide_33,-0.3973333333333333,0.04691468286514281,0.04819256504376731,0.002666666666666669,0.003333333333333336
slide_34,-0.444,0.046103113571802745,0.05280645509560903,0.003666666666666707,0.010000000000000083
slide_35,-0.3933333333333333,0.05931862844030056,0.0683252064387004,0.006000000000000005,0.013333333333333345
slide_36,-0.35600000000000004,0.056125811298688245,0.05955541412035629,0.005666666666666671,0.020000000000000018
slide_37,-0.428,0.044273682117462076,0.049436226785182925,0.00033333333333333365,0.0033333333333332993
slide_38,-0.5,0.051534234305222824,0.05549810548623405,0.009333333333333305,0.01999999999999998
slide_39,-0.4306666666666667,0.04879456824064251,0.054019459486007615,0.0030000000000000027,0.013333333333333383
slide_4,-0.34,0.05285304711262384,0.05607695480187732,0.0030000000000000027,0.013333333333333308
slide_40,-0.2706666666666667,0.024856042961279596,0.03035973668098446,0.006333333333333339,0.02333333333333328
slide_41,-0.37599999999999995,0.04292151111364373,0.039252287149429264,0.00366666666666667,-0.006666666666666672
slide_42,-0.4013333333333334,0.05934356779853508,0.06195510288079579,0.0,0.0
slide_43,-0.3973333333333333,0.06448339656988784,0.07220631996790572,0.008666666666666675,0.013333333333333345
slide_44,-0.4053333333333334,0.06659945108493175,0.07464648127555847,0.008000000000000044,0.020000000000000018
slide_45,-0.4506666666666667,0.04796604014436401,0.04860222587982813,-0.0010000000000000009,-0.006666666666666636
slide_46,-0.3666666666666667,0.05454199472069743,0.058578675190607776,0.001666666666666668,0.010000000000000009
slide_47,-0.39066666666666666,0.0376898319721222,0.04454556206862129,-0.0006666666666666673,-0.006666666666666672
slide_48,-0.448,0.044540991236766136,0.04123571942249937,0.0020000000000000018,0.013333333333333345
slide_5,-0.42933333333333334,0.04868155934413276,0.05525348246097569,0.005333333333333338,0.009999999999999972
slide_6,-0.40666666666666673,0.0721228812237581,0.0789768485228221,0.0010000000000000009,0.009999999999999972
slide_7,-0.40666666666666673,0.042996311336755744,0.04942738691965742,0.0006666666666666673,-0.0033333333333332993
slide_8,-0.2986666666666667,0.03609926861524585,0.03608783721923825,-0.00033333333333333365,0.0
slide_9,-0.3146666666666667,0.033763321499029865,0.03521528661251072,0.0013333333333333346,0.006666666666666672
