backbone,variant,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst,scanner_probe_accuracy,effective_rank,feature_variance_nonzero_fraction,n_test_slides
dinov2_base,paired_reference,0.847590887784958,0.8202108120918274,0.9998666666666668,0.9991111111111112,0.7824888888888889,56.93258654945826,1.0,9.6
dinov2_base,paired_acquisition_dep20,0.8788556795120239,0.8501655459403992,0.9997866666666668,0.9987333333333334,0.3989066666666667,54.50167255631819,1.0,9.6
phikon,paired_reference,0.7739916768074037,0.7363561010360717,0.9990644444444444,0.9940444444444444,0.9542844444444444,55.36227584065685,1.0,9.6
phikon,paired_acquisition_dep20,0.8644930937290192,0.8300214433670043,0.99968,0.9974444444444444,0.5200444444444444,46.75071637524961,1.0,9.6
resnet50,paired_reference,0.6285898020267486,0.5713482642173767,0.9644666666666666,0.9355555555555556,0.682791111111111,87.60489972326585,1.0,9.6
resnet50,paired_acquisition_dep20,0.6544406855106354,0.5978132653236389,0.97262,0.9454888888888888,0.3144622222222222,85.08746652068234,1.0,9.6

