backbone,slide_id,scanner_probe_accuracy,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst
dinov2_base,slide_1,-0.292,0.0072814158201216506,0.004013313055038381,0.0,0.0
dinov2_base,slide_10,-0.36000000000000004,0.022964285373687887,0.018843966722488448,0.0,0.0
dinov2_base,slide_11,-0.41600000000000004,0.02839090085029594,0.03137963652610776,0.0,0.0
dinov2_base,slide_12,-0.45600000000000007,0.03282471144199384,0.02903885364532477,0.0,0.0
dinov2_base,slide_13,-0.38,0.030545322775840766,0.026674549579620455,0.0,0.0
dinov2_base,slide_14,-0.42,0.033291287779808054,0.027662680149078356,0.0,0.0
dinov2_base,slide_15,-0.4680000000000001,0.02809797632694233,0.015968729257583636,0.0,0.0
dinov2_base,slide_16,-0.5000000000000001,0.034816200256347685,0.026037219762802044,0.0,0.0
dinov2_base,slide_17,-0.4040000000000001,0.028453103780746503,0.0319878566265106,0.0,0.0
dinov2_base,slide_18,-0.404,0.02020700705051448,0.022373802661895592,0.0,0.0
dinov2_base,slide_19,-0.3719999999999999,0.044975816726684714,0.04123285531997678,0.0,0.0
dinov2_base,slide_2,-0.38400000000000006,0.04336899578571318,0.03877863883972177,0.0,0.0
dinov2_base,slide_20,-0.436,0.019117769360542214,0.018618147373199445,0.0,0.0
dinov2_base,slide_21,-0.44399999999999995,0.026312510848045312,0.02908766150474551,-0.0010000000000000009,-0.010000000000000009
dinov2_base,slide_22,-0.4960000000000001,0.03202984130382536,0.036349674463272086,0.0,0.0
dinov2_base,slide_23,-0.4040000000000001,0.0376438192129136,0.029163992404937722,0.0,0.0
dinov2_base,slide_24,-0.468,0.024385224103927627,0.02428690195083627,0.0,0.0
dinov2_base,slide_25,-0.3480000000000001,0.03573724991083138,0.06994624435901642,0.0030000000000000027,0.020000000000000018
dinov2_base,slide_26,-0.39599999999999996,0.022839118003845194,0.026224563121795552,0.0,0.0
dinov2_base,slide_27,-0.45599999999999996,0.03306797194480904,0.03554779052734369,0.0,0.0
dinov2_base,slide_28,-0.4800000000000001,0.032078723907470685,0.03725882530212399,0.0,0.0
dinov2_base,slide_29,-0.28,0.042225482225418,0.04386650204658504,0.0,0.0
dinov2_base,slide_3,-0.312,0.035065249443054114,0.031868282556533956,0.0,0.0
dinov2_base,slide_30,-0.36000000000000004,0.03804530018568064,0.035461587309837284,-0.0030000000000000027,-0.010000000000000009
dinov2_base,slide_31,-0.38400000000000006,0.030317991495132368,0.024174833297729514,0.0,0.0
dinov2_base,slide_32,-0.284,0.03360566031932832,0.0344165062904358,0.0,0.0
dinov2_base,slide_33,-0.352,0.03258411848545073,0.02735063076019295,0.0,0.0
dinov2_base,slide_34,-0.44400000000000006,0.028465314149856535,0.0331277763843536,0.0,0.0
dinov2_base,slide_35,-0.38799999999999996,0.03997995030879964,0.05007234930992133,0.0,0.0
dinov2_base,slide_36,-0.32400000000000007,0.03892427551746369,0.040794460773468044,0.0,0.0
dinov2_base,slide_37,-0.404,0.02414410698413838,0.02353637337684622,0.0,0.0
dinov2_base,slide_38,-0.44800000000000006,0.03654060900211331,0.03877619147300726,0.0,0.0
dinov2_base,slide_39,-0.4920000000000001,0.0335845615863799,0.027296526432037282,0.0,0.0
dinov2_base,slide_4,-0.284,0.040321346282959025,0.04754742860794081,0.0,0.0
dinov2_base,slide_40,-0.18800000000000006,0.020015308737755033,0.019464927911758356,0.0,0.0
dinov2_base,slide_41,-0.352,0.036250445485115246,0.03818375349044789,0.0,0.0
dinov2_base,slide_42,-0.35600000000000004,0.03039604520797734,0.026295125484466553,0.0,0.0
