backbone,acquisition_effective_rank,acquisition_scanner_probe,acquisition_tissue_retrieval,cross_covariance_rms
dinov2_base,5.4445643040543645,0.8601511111111111,0.10418,0.09279549956321716
phikon,8.602407935948454,0.9710933333333334,0.07391777777777779,0.08886689931154251
resnet50,9.241400104352593,0.7845333333333333,0.17052444444444448,0.0895672732591629
