scope,metric,n_slide_blocks,mean_difference,median_difference,bootstrap_ci_025,bootstrap_ci_975,fraction_slides_favorable,monte_carlo_sign_flip_p_two_sided,sign_flip_draws
transfer_backbones_only,scanner_probe_accuracy,48,-0.401875,-0.401,-0.4144583333333334,-0.3894583333333334,1.0,3.9999840000639995e-06,250000
transfer_backbones_only,pair_cosine_average,48,0.05776228987984359,0.05612253738194703,0.053948823289476186,0.061526457498028556,1.0,3.9999840000639995e-06,250000
transfer_backbones_only,pair_cosine_worst,48,0.06283151199730734,0.062396992370486265,0.058451593941776084,0.06715793216740713,1.0,3.9999840000639995e-06,250000
transfer_backbones_only,retrieval_top1_average,48,0.0043437499999999995,0.0040000000000000036,0.0033125000000000008,0.005427083333333319,0.8541666666666666,3.9999840000639995e-06,250000
transfer_backbones_only,retrieval_top1_worst,48,0.010833333333333334,0.010000000000000009,0.007083333333333337,0.014583333333333328,0.75,7.999968000127999e-06,250000
all_three_backbones,scanner_probe_accuracy,48,-0.3963888888888889,-0.402,-0.4093333333333333,-0.383,1.0,3.9999840000639995e-06,250000
all_three_backbones,pair_cosine_average,48,0.048853273679398845,0.04787294145425158,0.04571440297458838,0.051945160828463524,1.0,3.9999840000639995e-06,250000
all_three_backbones,pair_cosine_worst,48,0.052252938186542856,0.05105689118305844,0.048623928348740755,0.055907535285999385,1.0,3.9999840000639995e-06,250000
all_three_backbones,retrieval_top1_average,48,0.0028680555555555555,0.002666666666666669,0.0021666666666666687,0.0035902777777777777,0.8333333333333334,3.9999840000639995e-06,250000
all_three_backbones,retrieval_top1_worst,48,0.007083333333333335,0.006666666666666672,0.004583333333333335,0.009583333333333333,0.7291666666666666,3.9999840000639995e-06,250000
